sample,id,text,reply_to,Target_chi,Target_categoria,Contenuto/tema,offensività,hate speech,tipo_risposta,RISPOSTA
Camp300HS,"1,20584470504241E+018",@pisto_gol @CorSport @ODG_CNOG Diceva un vate e prostituzione intellettuale @MouSpeciale,"""Alla lettera di un lettore del @CorSport che attacca l\u2019Inter, ICucci risponde con una critica all\u2019operato della soc\u2026 https://t.co/5fE926cNrw""",nd,nd,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,20503631065588E+018",@Gazzetta_it A porta vuota... quanto cazzo siete schiavi. Non cambia molto tra oggi e gli anni del fascio,"""#Ronaldo, riecco l\u2019insaziabile: la #Juve \u00e8 di nuovo ai suoi piedi. #CR7 #ChampionsLeague https://t.co/EpPgrXYJEO #serieA #juventus""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,23052263199836E+018",@Gazzetta_it Aveva ragion e voi siete l’ esempio più grande di PROSTITUZIONE INTELLETTUALE,"""Vi ricordate questa foto? Era il 20 febbraio 2010... esattamente 10 anni dopo, #Mourinho \""ammanettato\"" dal #Lipsia\u2026 https://t.co/lSgQmOiWhg""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,2032687084766E+018",@Gazzetta_it La solita prostituzione intellettuale senza vergogna e senza dignità da gossipari,"""#Moviola #Inter-#Roma: braccio di #Spinazzola, ma #Calvarese giudica bene https://t.co/TF8Rjo2aBt #serieA""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300casuali,"1,18671503716091E+018",@CorSport Questa è la vera prostituzione intellettuale senza vergogna e senza dignità,"""\""Il #Tottenham vuole #Rabiot e propone #Eriksen alla #Juventus\"" \u2b07\ufe0f https://t.co/IzQiZpUXMI""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300casuali,"1,20558247719412E+018","@Gazzetta_it @juventusfc E, come al solito, anche oggi slurp, slurp, slurp, slurp, slurp, slurp..... Fanculo voi e il vostro editore!","""Terno secco sulla ruota @juventusfc: i tifosi votano Dygualdo. E #CR7: \""Ci divertiamo\"" https://t.co/u8hpA9G8Kg #serieA #juventus""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22116090562438E+018","""@Gazzetta_it Andate a fare in culo...Servi&amp;Lecchini...🤮""","""VIDEO Valencia, che qualit\u00e0! Dea: stai attenta. Bar\u00e7a e Napoli, tanti problemi https://t.co/o4Dbx9wnKK #calcio #news""",organizzazione,giornalismo,insulto generico,2,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,20218221939521E+018","""@Gazzetta_it @Ibra_official @acmilan Sarà la vostra alternativa a Ronalda...?😂😂😂Vassalli pagliacci...""",""".@Ibra_official, sms al @acmilan? \""Presto in #Italia. Andr\u00f2 in una squadra che deve vincere di nuovo\"" https://t.co/7bNkwAv5xO #serieA #milan""",organizzazione,organizzazione,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300casuali,"1,20596966037143E+018","@Inter contro il giornalismo spazzatura e contro gli uomini spazzatura che lo alimentano, silenzio stampa fino a maggio","""\ud83d\udea8 | COMUNICATO\n\nOggi non si terr\u00e0 la conferenza stampa \ud83d\udc49 https://t.co/9ZPpGd8cR6\n\n#FCIM""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300casuali,"1,20503198706665E+018",@Gazzetta_it E Voi in ginocchio o a 90?,"""#Ronaldo, riecco l\u2019insaziabile: la #Juve \u00e8 di nuovo ai suoi piedi. #CR7 #ChampionsLeague https://t.co/EpPgrXYJEO #serieA #juventus""",organizzazione,giornalismo,insulto categoria,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,23198173028809E+018","@Gazzetta_it Fate schifo al cazzo, la gente vi deride ma a voi interessa solo una cosa...che il padrone vi veda belli chini a 90 😂😂😂","""Effetto #coronavirus, la #Juve affonda in borsa: -11%. https://t.co/AJaJz6xp9F #serieA""",organizzazione,giornalismo,insulto generico,2,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,19331340924633E+018","@Gazzetta_it Ma che cazzo scrivete giornalai, Lukaku tra i migliori in campo! Dovete fallire presto","""#Barella, una magia cancella i tanti errori. #Lukaku fa arrabbiare San Siro #Inter #InterVerona https://t.co/3rj9KfE5hT #serieA #inter""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,21130216816422E+018",@SkySport Ennesima dimostrazione ai vari giornalai italiani che sono solo dei cazzari che scrivono a cazzo di cane,"""\u26a0 #UltimOra #Mercato\n\u270d\ud83c\udffb Erling #Haaland ufficiale al #BorussiaDortmund\n\ud83d\udd0e Operazione da 20 milioni di euro, contratt\u2026 https://t.co/pxbk15c02P""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,1866062640313E+018",@CorSport Pure il vice direttore pagliaccio... Neanche a pulire il cu.. Sto giornale,"""#SerieA, falli di mano: tre casi e due misure \u26bd https://t.co/FTsvEw0uVd""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,18470456033984E+018",@Gazzetta_it @acmilan @gigiodonna1 Pensate a vendere il vostro giornalino di merda invece di sparare cazzate,""".@acmilan, dopo l'aumento del disavanzo vendere a gennaio \u00e8 d'obbligo: #Suso e @gigiodonna1 tornano in bilico\u2026 https://t.co/KrFilvGPFb""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,19945056627715E+018",@CorSport Seghe a pedali ..giornalisti dei miei coglioni ...,"""Il saluto militare di #Dybala a #Demiral dopo il gol \u2b07\ufe0f https://t.co/68wlQTacl0""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,18584329136077E+018","@Gazzetta_it Coglioni di  merda , in giorno sparirete voi e sto giornale di merd*","""#JuveBologna braccio di #DeLigt in area al 93', per #Irrati \u00e8 tutto ok: il Bologna non ci sta, \u00e8 polemica\u2026 https://t.co/KJNUtrETMW""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,18965222736492E+018",@Gazzetta_it Giornale di merda ch'e a Napoli non vende un cazzo,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,22572017118626E+018",@Gazzetta_it Che fine di merda la gazzetta ridotto a un giornaletto come di più tv,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,18851374882008E+018","@CorSport #bergomi fottiti tu, il corriere della spazzatura, e #sky che ti fa lavorare!","""#Bergomi e la #Juve: \""Oggi ho visto dare dei rigori...\"". #Social scatenati \u2b07\ufe0f https://t.co/81MWA7eZOj""",singolo,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22851556426977E+018","@Teo__Visma @tuttosport Vabè lo leggono in cinque, tra i quali tre analfabeti. Ci sta.","""Volevo fare i complimenti ai colleghi, gi\u00e0 ora sono vostro collega, di @tuttosport per l'idea geniale.\n\nIl pagellis\u2026 https://t.co/lUXroCV74W""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp100hs,"1,18659611937305E+018",@CorSport Ignoranza a go go e le vendite giù!,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn punto di vista,"Anche se non si condivide il punto di vista di alcuni giornali/giornalisti, si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,22359880592653E+018",@Gazzetta_it Ma lo fate apposta dai. Che bastardi. Se domani vinciamo compro la gazzetta e posto il video mentre la piscio.,"""La fatal San Siro del #Verona: 65 partite, mai una vittoria! E domenica contro il #Milan? #SerieA https://t.co/TvRqG3BsES #serieA #premium""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,21914594671144E+018",@Gazzetta_it Giornale spazzatura ma lo scempio Giacomelli e VAR oggi nessun commento? Figli gobbi della merda maledetti 🤮🤮🤮,"""Oggi in #primapagina:\n- #Ronaldo super e la #Juventus vola a +4;\n- #Rebic illumina il #Milan di #Ibrahimovic;\n-\u2026 https://t.co/x1PB5FPz7l""",organizzazione,giornalismo,insulto generico,2,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300casuali,"1,22289112750367E+018",@Gazzetta_it Sta carta da cesso 💩💩 continua a far parlare di calcio gente senza un minimo di idea dell’argomento 💩💩 Faziosi Falliti,"""#Inter: con #Eriksen #Conte pu\u00f2 passare al 3-5-1-1 come fece con la #Juve nel 2012-13 https://t.co/uFNzOJU2pR #serieA""",organizzazione,giornalismo,insulto generico,2,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
Camp300HS,"1,22144946590894E+018",@CorSport Pezzi di merda del rigore nn dato non parlate ormai @juventusfc gratta e vince facile 💩💩💩 umane @neniambulance,"""#Nainggolan: \""All'#Inter trattato come un giocatorino. Il futuro? Chi lo sa\"" \ud83d\udce2 https://t.co/p7yqYHcZxS""",organizzazione,giornalismo,insulto generico,2,0,CORR giorn squadra off,"È possibile che alcuni giornali/giornalisti siano più favorevoli verso una squadra rispetto a un'altra, ma si può esprimere il proprio dissenso senza offendere."
